data,BTC,ETH,BNB,TRX,HYPE,WBT,XMR,OKB,PUMP,MORPHO,SKY,BTW,JST,VVV,MON,KAU,PIEVERSE,TIBBIR,AKE,CASHCAT,DRV
2026-07-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-07-02,1.665,4.634,0.677,0.220,4.048,0.621,2.222,0.839,6.232,-1.999,10.800,-4.890,-0.809,-2.947,-0.190,-0.764,1.139,-0.220,1.291,0.356,6.986
2026-07-03,3.498,8.369,3.507,1.900,11.739,2.904,4.406,1.354,14.115,-6.965,10.458,-9.165,2.095,-3.124,2.085,1.760,7.439,1.634,10.569,6.472,2.837
2026-07-04,4.497,10.099,4.138,2.784,10.558,3.703,5.997,1.064,9.269,-7.561,6.338,-5.297,2.189,-9.109,3.947,3.438,3.315,8.764,-22.625,18.002,-0.624
2026-07-05,5.385,10.364,6.787,3.840,12.940,3.500,5.940,0.349,14.795,-8.375,6.178,10.951,3.831,-11.428,6.253,1.561,2.131,10.433,-24.171,26.326,3.748
2026-07-06,6.259,11.382,6.202,3.986,12.285,4.653,4.328,-0.085,13.733,-6.794,6.189,-5.922,5.221,-14.386,24.144,1.510,2.073,22.698,-22.389,64.272,5.700
2026-07-07,5.104,9.478,4.507,4.725,10.075,2.335,8.004,-0.357,9.408,-4.324,1.509,-5.096,5.953,-21.106,22.155,-0.021,-0.319,18.015,-50.230,229.560,3.014
2026-07-08,3.086,7.345,2.573,4.041,5.985,0.066,3.763,-1.472,4.143,-2.987,5.858,-0.337,7.868,-15.321,13.882,-0.901,0.149,1.952,-50.202,2258.588,1.789
2026-07-09,4.574,7.792,3.039,4.962,6.095,1.344,1.424,-0.575,3.440,7.379,5.337,-3.961,12.863,-14.969,15.057,0.785,0.439,13.492,-51.352,2366.370,5.518
2026-07-10,6.055,10.714,4.047,4.367,6.544,1.709,3.587,0.821,2.364,3.898,12.112,-4.071,15.576,-16.449,14.228,0.984,1.869,28.102,-51.078,3297.218,8.903
2026-07-11,6.211,11.850,4.822,4.288,6.785,2.180,3.982,1.091,-1.155,0.278,11.378,-10.703,14.611,-21.747,11.751,-1.256,2.762,28.421,-48.329,4871.265,15.245
2026-07-12,5.690,11.302,3.711,4.675,6.076,1.704,5.124,0.722,1.038,-6.647,11.717,-10.391,14.948,-22.442,13.549,0.232,-1.805,14.845,-51.129,3456.693,14.447
2026-07-13,2.399,8.403,2.072,2.406,-0.237,-1.228,3.428,0.449,2.557,-5.800,13.661,-9.167,12.571,-22.646,9.499,-1.656,-3.200,6.906,-52.407,3182.586,8.239
2026-07-14,7.304,16.073,5.077,2.934,3.718,2.910,6.575,1.643,3.856,-3.249,14.307,-12.218,13.563,-18.760,12.525,-0.129,-1.864,20.415,-51.979,3642.822,44.017
2026-07-15,7.310,18.595,4.957,2.499,5.870,3.311,6.207,2.294,17.088,-4.050,17.731,-9.993,11.908,-19.468,11.094,0.121,-0.114,1.966,66.517,2203.129,36.724
2026-07-16,5.808,15.281,3.637,2.107,-2.297,1.730,8.311,0.600,18.645,-2.433,15.722,-9.876,9.959,-20.483,6.563,-2.198,-6.286,12.845,143.711,1491.504,26.942
2026-07-17,5.842,13.491,2.528,1.927,-5.613,1.186,6.373,1.412,15.494,-6.626,11.484,-9.726,10.667,-17.587,8.767,-1.511,-3.309,4.619,263.257,1386.840,21.549
2026-07-18,7.207,14.960,3.027,2.901,-4.476,2.320,8.214,1.792,15.992,-3.799,17.066,-6.065,11.510,-13.222,7.376,-1.832,-3.293,9.030,386.766,1307.057,17.239
2026-07-19,6.974,15.313,3.078,3.272,-3.677,2.280,8.194,0.664,36.830,-4.647,14.941,1.156,9.758,-14.841,5.443,-2.124,-6.366,3.475,383.435,1684.032,14.474
2026-07-20,7.748,16.874,2.961,3.155,-1.682,2.946,8.896,1.682,39.799,-5.682,15.346,0.544,14.887,-15.515,13.797,-1.419,-0.149,3.791,332.115,1490.305,15.862
2026-07-21,9.682,18.463,3.459,3.983,-4.032,4.743,14.316,2.856,39.879,-1.933,18.465,9.074,13.972,-7.511,14.161,-0.204,-0.333,2.384,331.824,1407.897,12.203
