nome,simbolo,rank_market_cap,retorno_01jul_pct,dist_ath_pct
Bitcoin,BTC,1,30.76,-37.30
Cash Cat,CASHCAT,181,4069.70,-18.65
Akedo,AKE,173,2093.86,-44.00
Bitway,BTW,68,565.76,-40.77
Pump.fun,PUMP,49,228.57,-46.50
Ribbita by Virtuals,TIBBIR,156,128.87,-45.38
Monad,MON,119,58.46,-34.35
Ethereum,ETH,2,52.82,-49.87
Pieverse,PIEVERSE,140,51.31,-38.57
Derive,DRV,194,47.92,-31.03
OKB,OKB,41,43.89,-49.75
Monero,XMR,18,43.42,-44.19
WhiteBIT Coin,WBT,16,33.21,-1.44
BNB,BNB,4,26.99,-48.62
Sky,SKY,54,26.39,-32.84
Morpho,MORPHO,51,23.13,-37.19
Venice Token,VVV,84,22.94,-26.26
Hyperliquid,HYPE,10,22.40,-6.90
JUST,JST,80,14.68,-47.52
Kinesis Gold,KAU,121,14.25,-27.94
TRON,TRX,8,8.57,-20.30
