data,BTC,BTW,PUMP,ETH,OKB,XMR,WBT,BNB,SKY,VVV,HYPE
2026-07-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2026-07-02,1.665,-4.890,6.232,4.634,0.839,2.222,0.621,0.677,10.800,-2.947,4.048
2026-07-03,3.498,-9.165,14.115,8.369,1.354,4.406,2.904,3.507,10.458,-3.124,11.739
2026-07-04,4.497,-5.297,9.269,10.099,1.064,5.997,3.703,4.138,6.338,-9.109,10.558
2026-07-05,5.385,10.951,14.795,10.364,0.349,5.940,3.500,6.787,6.178,-11.428,12.940
2026-07-06,6.259,-5.922,13.733,11.382,-0.085,4.328,4.653,6.202,6.189,-14.386,12.285
2026-07-07,5.104,-5.096,9.408,9.478,-0.357,8.004,2.335,4.507,1.509,-21.106,10.075
2026-07-08,3.086,-0.337,4.143,7.345,-1.472,3.763,0.066,2.573,5.858,-15.321,5.985
2026-07-09,4.574,-3.961,3.440,7.792,-0.575,1.424,1.344,3.039,5.337,-14.969,6.095
2026-07-10,6.055,-4.071,2.364,10.714,0.821,3.587,1.709,4.047,12.112,-16.449,6.544
2026-07-11,6.211,-10.703,-1.155,11.850,1.091,3.982,2.180,4.822,11.378,-21.747,6.785
2026-07-12,5.690,-10.391,1.038,11.302,0.722,5.124,1.704,3.711,11.717,-22.442,6.076
2026-07-13,2.399,-9.167,2.557,8.403,0.449,3.428,-1.228,2.072,13.661,-22.646,-0.237
2026-07-14,7.304,-12.218,3.856,16.073,1.643,6.575,2.910,5.077,14.307,-18.760,3.718
2026-07-15,7.310,-9.993,17.088,18.595,2.294,6.207,3.311,4.957,17.731,-19.468,5.870
2026-07-16,5.808,-9.876,18.645,15.281,0.600,8.311,1.730,3.637,15.722,-20.483,-2.297
2026-07-17,5.842,-9.726,15.494,13.491,1.412,6.373,1.186,2.528,11.484,-17.587,-5.613
2026-07-18,7.207,-6.065,15.992,14.960,1.792,8.214,2.320,3.027,17.066,-13.222,-4.476
2026-07-19,6.974,1.156,36.830,15.313,0.664,8.194,2.280,3.078,14.941,-14.841,-3.677
2026-07-20,7.748,0.544,39.799,16.874,1.682,8.896,2.946,2.961,15.346,-15.515,-1.682
2026-07-21,9.682,9.074,39.879,18.463,2.856,14.316,4.743,3.459,18.465,-7.511,-4.032
2026-07-22,9.251,-0.101,33.441,19.533,2.822,13.479,4.344,3.214,20.595,-9.866,-6.525
2026-07-23,7.847,-0.519,27.854,16.182,2.245,14.899,2.843,2.587,15.135,-12.655,-8.851
2026-07-24,6.109,0.267,28.244,14.687,2.839,17.358,1.594,2.045,8.744,-8.756,-9.457
2026-07-25,6.528,13.792,24.496,15.694,4.084,17.511,2.080,2.871,9.273,-2.354,-8.156
2026-07-26,8.215,9.131,43.414,20.283,5.982,14.505,4.118,3.958,10.192,2.074,-5.776
2026-07-27,5.419,11.181,46.996,16.601,7.315,11.712,1.431,2.277,3.862,-5.012,-11.419
2026-07-28,5.417,43.060,37.229,17.780,7.641,9.852,1.519,2.693,6.426,-3.552,-13.420
2026-07-29,5.703,25.415,30.655,17.382,6.708,13.496,1.589,3.113,7.926,-7.850,-15.105
2026-07-30,7.265,25.722,39.392,18.716,8.546,17.814,2.797,7.043,8.185,-9.827,-11.684
2026-07-31,4.121,47.582,41.891,14.841,7.739,15.481,-0.207,6.064,6.545,-13.542,-17.130
2026-08-01,3.945,35.593,47.687,13.966,8.012,17.182,-0.487,4.025,5.008,-14.102,-17.674
2026-08-02,4.892,19.889,46.547,16.026,7.948,17.609,0.371,6.228,5.234,-12.968,-16.910
2026-08-03,5.155,59.631,48.423,14.632,7.723,16.897,0.137,6.466,5.354,-8.420,-14.840
2026-08-04,6.246,103.623,71.473,15.564,8.644,13.711,0.956,7.205,4.767,-12.983,-12.948
2026-08-05,6.841,143.663,69.061,17.506,7.202,17.762,1.732,6.993,5.504,-14.965,-10.426
2026-08-06,6.420,185.324,65.994,17.431,6.798,19.184,1.285,6.913,3.683,-15.963,-11.343
2026-08-07,7.342,222.552,58.501,18.102,13.138,21.428,2.004,7.088,2.614,-16.590,-14.462
2026-08-08,7.424,207.344,68.414,18.198,17.103,22.190,2.089,8.410,1.441,-16.715,-13.099
2026-08-09,7.600,230.010,88.706,18.337,17.672,26.661,2.206,9.299,0.061,-14.180,-14.585
2026-08-10,5.854,191.797,95.641,15.602,18.803,27.821,0.353,8.222,-1.371,-12.936,-12.949
2026-08-11,5.206,206.422,88.585,15.935,18.782,21.896,0.105,10.867,-0.369,-15.502,-14.240
2026-08-12,4.890,295.351,89.533,15.791,22.905,26.298,-0.194,10.151,-1.047,-14.450,-11.464
2026-08-13,5.029,305.404,102.808,16.371,28.337,27.715,-0.095,10.283,0.143,-9.768,-9.303
