nome,simbolo,rank_market_cap,retorno_01jul_pct,dist_ath_pct
Bitcoin,BTC,1,30.56,-37.44
Bitway,BTW,68,560.71,-40.60
Pump.fun,PUMP,50,228.61,-47.05
OKB,OKB,41,42.88,-49.99
Monero,XMR,18,42.25,-44.63
WhiteBIT Coin,WBT,16,33.26,-1.66
BNB,BNB,4,27.03,-48.69
Sky,SKY,55,26.13,-33.09
Venice Token,VVV,84,22.84,-26.28
Morpho,MORPHO,52,22.63,-37.81
Hyperliquid,HYPE,10,22.62,-7.06
JUST,JST,80,14.73,-47.58
TRON,TRX,8,8.58,-20.34
Spiko Amundi Overnight Swap Fund (EUR),EURSAFO,67,2.85,-0.41
Spiko EU T-Bills Money Market Fund,EUTBL,74,2.80,-2.21
Figure Heloc,FIGR_HELOC,9,0.92,-0.92
Circle USYC,USYC,33,0.68,0.00
Janus Henderson Anemoy AAA CLO Fund,JAAA,87,0.66,0.00
Janus Henderson Anemoy Treasury Fund,JTRSY,75,0.53,0.00
Invesco Short Duration US Government Securities Fund,USTB,81,0.50,0.00
LEO Token,LEO,17,0.19,-12.70
